Table 3. SLC polygons (2011) to be modelled in the Holos V4 simulations,,,,Polygon centroid coordinates,
SLC polygon #,Ecodistrict #,SLC polygon area (ha),Ecodistrict area (ha),Latitude,Longitude
555015,555,"7,599","730,785",44.272859,-76.273634
555016,555,"39,880","730,785",44.157189,-76.422542
555017,555,"14,560","730,785",44.232482,-76.598201
556001,556,"35,088","481,237",44.369191,-80.373038
556002,556,"21,317","481,237",44.163729,-80.151876
556003,556,"73,584","481,237",44.245708,-80.691483
556004,556,"116,979","481,237",44.080078,-80.497284
556005,556,"24,644","481,237",44.133433,-80.22566
556006,556,"13,899","481,237",44.261767,-80.888212
556007,556,"19,016","481,237",44.034168,-80.0138
556008,556,"22,579","481,237",44.017153,-80.330593
556009,556,"23,567","481,237",44.145809,-80.991067
556010,556,"14,589","481,237",43.97644,-80.121902
556011,556,"10,544","481,237",43.991697,-80.21438
556012,556,"13,344","481,237",43.937351,-80.743965
556013,556,"42,582","481,237",43.808021,-80.143569
556014,556,"12,233","481,237",43.987242,-80.859379
556015,556,"11,823","481,237",43.891611,-80.201784
556016,556,"25,450","481,237",43.881861,-80.557972
557001,557,"124,271","907,968",44.219996,-81.786898
557002,557,"8,631","907,968",44.227961,-81.219551
557003,557,"391,732","907,968",43.827505,-81.908773
557004,557,"57,887","907,968",43.534451,-81.615985
557005,557,"206,690","907,968",43.367606,-81.042062
557006,557,"48,865","907,968",43.315459,-81.34866
557007,557,"8,792","907,968",43.381271,-81.556239
557008,557,"16,044","907,968",43.197962,-80.614568
557009,557,"45,056","907,968",43.201692,-80.916748
558001,558,"13,897","481,155",44.190745,-81.158668
558002,558,"80,631","481,155",44.041748,-81.095907
558003,558,"12,741","481,155",44.096961,-81.380121
558004,558,"31,539","481,155",43.957141,-81.393326
558005,558,"40,454","481,155",43.676454,-80.827004
558006,558,"41,075","481,155",43.75904,-80.536804
558007,558,"26,315","481,155",43.95571,-81.291855
558008,558,"182,567","481,155",43.750554,-81.243179
558009,558,"6,892","481,155",43.700767,-80.653701
558010,558,"29,356","481,155",43.600336,-81.089007
558011,558,"15,689","481,155",43.603488,-80.778928
559001,559,"7,579","7,579",44.070919,-79.564544
560001,560,"5,930","227,515",43.815733,-80.032651
560002,560,"19,715","227,515",43.688588,-80.030899
560003,560,"89,972","227,515",43.624064,-80.355239
560004,560,"59,115","227,515",43.254794,-80.477277
560005,560,"14,590","227,515",43.465813,-80.534426
560006,560,"25,908","227,515",43.448404,-80.65586
560007,560,"12,284","227,515",43.307139,-80.582522
561001,561,"85,516","175,924",43.872274,-79.19292
561002,561,"90,408","175,924",43.735904,-78.911493
562001,562,"70,970","159,206",43.801,-79.532214
562002,562,"18,697","159,206",43.890011,-79.72715
562003,562,"69,539","159,206",43.658999,-79.809904
563001,563,"122,460","122,460",43.634296,-79.289757
564001,564,"11,060","408,727",43.595983,-79.919665
564002,564,"77,706","408,727",43.391178,-79.745336
564003,564,"66,962","408,727",43.457603,-79.440096
564004,564,"9,168","408,727",43.551676,-79.981642
564005,564,"60,879","408,727",43.420515,-80.169069
564006,564,"13,837","408,727",43.392929,-79.986551
564007,564,"24,668","408,727",43.23121,-80.122676
564008,564,"10,520","408,727",43.324972,-80.133759
564009,564,"79,247","408,727",43.122587,-80.036266
564010,564,"8,835","408,727",43.092151,-79.849958
564011,564,"27,947","408,727",43.002058,-79.926789
564012,564,"11,306","408,727",42.934743,-80.241762
564013,564,"6,592","408,727",42.939304,-79.989422
565001,565,"84,985","1,337,656",43.328971,-81.992087
565002,565,"39,483","1,337,656",43.243712,-81.688138
565003,565,"104,008","1,337,656",43.124464,-82.188002
565004,565,"90,507","1,337,656",42.833762,-81.824381
565005,565,"17,214","1,337,656",42.914507,-81.715847
565006,565,"25,581","1,337,656",42.896958,-81.500901
565007,565,"10,007","1,337,656",42.822632,-80.63526
565008,565,"69,747","1,337,656",42.777501,-81.435821
565009,565,"172,581","1,337,656",42.527185,-80.970521
565010,565,"13,648","1,337,656",42.719033,-81.102759
565011,565,"22,057","1,337,656",42.789746,-81.713352
565012,565,"30,106","1,337,656",42.824298,-82.282447
565013,565,"7,583","1,337,656",42.706852,-80.954906
565014,565,"200,948","1,337,656",42.457426,-81.360643
565015,565,"14,124","1,337,656",42.635889,-81.163402
565016,565,"38,194","1,337,656",42.630228,-81.892464
565017,565,"53,265","1,337,656",42.42096,-81.593226
565018,565,"5,443","1,337,656",42.567,-81.77181
565019,565,"22,841","1,337,656",42.553598,-82.051126
565020,565,"10,605","1,337,656",42.512142,-81.900394
565021,565,"82,550","1,337,656",42.263682,-81.666138
565022,565,"24,688","1,337,656",42.399661,-82.193022
565023,565,"75,179","1,337,656",42.057087,-82.06171
565024,565,"19,038","1,337,656",42.450718,-82.005602
565025,565,"103,270","1,337,656",42.158287,-81.853836
566001,566,"60,232","136,496",43.269783,-79.248672
566002,566,"31,669","136,496",43.25324,-79.595344
566003,566,"18,128","136,496",43.15436,-79.275561
566004,566,"26,468","136,496",43.136354,-79.484586
567001,567,"81,394","335,062",43.164481,-81.536447
567002,567,"40,664","335,062",43.106256,-80.838483
567003,567,"19,662","335,062",43.110345,-81.409983
567004,567,"18,636","335,062",42.991745,-80.790675
567005,567,"32,491","335,062",43.034425,-80.620108
567006,567,"56,031","335,062",43.058845,-81.151164
567007,567,"16,584","335,062",43.043879,-81.328717
567008,567,"69,601","335,062",42.910329,-81.207121
568001,568,"23,422","223,257",43.108525,-80.437421
568002,568,"20,755","223,257",42.998893,-80.383828
568003,568,"45,549","223,257",42.910779,-80.512167
568004,568,"4,062","223,257",42.948019,-80.518172
568005,568,"12,907","223,257",42.82097,-80.305752
568006,568,"6,583","223,257",42.829571,-80.724857
568007,568,"3,485","223,257",42.791153,-80.589919
568008,568,"90,470","223,257",42.529947,-80.688323
568009,568,"6,305","223,257",42.750856,-80.652979
568010,568,"2,841","223,257",42.745509,-80.794366
568011,568,"6,876","223,257",42.644646,-80.669096
569001,569,"226,891","558,914",42.940046,-79.15521
569002,569,"6,116","558,914",43.071847,-79.292437
569003,569,"1,506","558,914",43.031111,-79.292562
569004,569,"38,058","558,914",42.963456,-80.152041
569005,569,"28,683","558,914",42.928741,-79.453664
569006,569,"140,209","558,914",42.734749,-79.817806
569007,569,"32,106","558,914",42.749293,-79.483541
569008,569,"22,245","558,914",42.72237,-79.590553
569009,569,"48,632","558,914",42.715622,-80.080272
569010,569,"14,468","558,914",42.722475,-80.275272
570001,570,"135,264","613,673",42.823279,-82.016552
570002,570,"32,325","613,673",42.36694,-82.459752
570003,570,"15,250","613,673",42.560653,-82.312108
570004,570,"7,168","613,673",42.570627,-82.476066
570005,570,"33,796","613,673",42.485421,-82.581991
570006,570,"20,258","613,673",42.465974,-82.284298
570007,570,"354,808","613,673",42.23128,-82.818101
570008,570,"6,205","613,673",42.342275,-82.284007
570009,570,"4,078","613,673",42.303028,-83.013948
570010,570,"4,520","613,673",42.255696,-83.06655
571001,571,"22,064","203,826",42.746037,-80.42466
571002,571,"7,609","203,826",42.654211,-80.318879
571003,571,"33,297","203,826",42.462353,-80.586087
571004,571,"140,857","203,826",42.494299,-80.239445
572001,572,"31,171","251,207",41.958271,-82.720424
572002,572,"10,974","251,207",41.93257,-82.657005
572003,572,"35,276","251,207",41.987706,-83.045139
572004,572,"28,238","251,207",41.938728,-82.832992
572005,572,"86,005","251,207",41.823578,-82.442064
572006,572,"19,380","251,207",41.916898,-82.931243
572007,572,"40,164","251,207",41.787134,-82.681309
581005,581,"22,127","1,335,563",57.035725,-120.948606
581008,581,"126,575","1,335,563",57.202035,-120.181048
581009,581,"41,267","1,335,563",57.067989,-120.57287
581011,581,"93,761","1,335,563",56.853132,-120.196567
581012,581,"18,908","1,335,563",56.694376,-120.512481
583010,583,"17,687","1,039,440",56.595679,-120.375992
583011,583,"106,683","1,039,440",56.644216,-118.641436
583013,583,"76,437","1,039,440",56.54361,-119.963434
583016,583,"10,813","1,039,440",56.295372,-120.191698
583018,583,"48,125","1,039,440",56.395578,-117.839274
583019,583,"19,832","1,039,440",56.635728,-120.158944
584003,584,"54,724","453,627",56.588604,-118.211719
585002,585,"89,388","1,066,011",56.956694,-122.299536
585003,585,"30,469","1,066,011",56.88987,-122.596011
585005,585,"133,527","1,066,011",56.972693,-121.191601
585006,585,"43,201","1,066,011",57.061907,-121.623112
585007,585,"77,843","1,066,011",56.614723,-122.278216
585008,585,"69,301","1,066,011",56.747102,-121.850752
585009,585,"6,673","1,066,011",56.993783,-121.733625
585010,585,"87,097","1,066,011",56.796019,-121.77904
585011,585,"32,388","1,066,011",56.811523,-121.332961
585012,585,"32,844","1,066,011",56.601871,-121.808172
585013,585,"12,036","1,066,011",56.564447,-121.907478
585015,585,"154,696","1,066,011",56.509959,-121.248664
585018,585,"27,444","1,066,011",56.422837,-121.82169
585021,585,"4,752","1,066,011",56.714203,-121.029186
585024,585,"36,375","1,066,011",56.195839,-122.008975
585025,585,"21,388","1,066,011",56.306956,-121.874734
585026,585,"14,166","1,066,011",56.328074,-121.312394
585027,585,"12,670","1,066,011",56.363585,-120.960382
586001,586,"122,347","1,003,773",58.543819,-116.23462
586002,586,"162,024","1,003,773",58.365537,-117.432094
586003,586,"75,529","1,003,773",58.081159,-117.703049
586004,586,"53,527","1,003,773",58.460977,-116.484666
586005,586,"90,332","1,003,773",58.317171,-115.879836
586008,586,"21,630","1,003,773",57.932126,-117.558013
586010,586,"32,193","1,003,773",57.759837,-117.017381
586011,586,"28,041","1,003,773",57.749545,-117.744635
586012,586,"56,781","1,003,773",57.97594,-116.818981
586013,586,"62,043","1,003,773",57.748112,-117.427999
586014,586,"18,803","1,003,773",58.086153,-116.253095
586015,586,"21,932","1,003,773",58.016348,-116.4196
586016,586,"96,863","1,003,773",57.689987,-116.657284
587001,587,"88,984","257,262",58.307259,-116.983083
587002,587,"82,694","257,262",58.134245,-116.95996
587003,587,"49,320","257,262",58.42947,-115.915847
587005,587,"9,809","257,262",58.184763,-116.50838
587006,587,"15,031","257,262",58.180627,-116.39751
588003,588,"201,707","784,811",57.160646,-116.772733
588004,588,"27,757","784,811",57.260509,-117.350308
588005,588,"40,830","784,811",56.934754,-117.80185
588006,588,"211,054","784,811",57.282931,-116.285089
588007,588,"57,461","784,811",56.738957,-117.199784
588008,588,"12,463","784,811",57.140493,-117.382683
588009,588,"62,037","784,811",56.81735,-117.561042
588010,588,"28,970","784,811",57.020352,-117.592093
588011,588,"10,236","784,811",56.985927,-117.294195
588012,588,"25,720","784,811",56.790474,-117.390193
588013,588,"21,754","784,811",56.484673,-117.221635
588014,588,"47,202","784,811",56.228879,-117.116989
589002,589,"29,035","147,558",57.421189,-117.143187
590001,590,"69,320","327,760",56.631505,-117.557627
590002,590,"19,449","327,760",56.683774,-117.770676
590003,590,"65,379","327,760",56.344955,-117.67791
590004,590,"70,597","327,760",56.217767,-118.156933
590005,590,"18,601","327,760",56.358297,-117.409284
590006,590,"84,414","327,760",56.179112,-117.908697
591001,591,"50,515","1,437,995",56.597139,-120.610281
591002,591,"16,533","1,437,995",56.295402,-121.442104
591003,591,"19,055","1,437,995",56.263367,-120.602867
591004,591,"19,496","1,437,995",56.547663,-120.824555
591005,591,"22,001","1,437,995",56.429615,-120.875624
591006,591,"38,171","1,437,995",56.226408,-121.676893
591007,591,"13,543","1,437,995",56.103979,-122.00468
591008,591,"39,457","1,437,995",56.123465,-121.659384
591009,591,"25,985","1,437,995",56.381657,-120.559779
591010,591,"44,993","1,437,995",56.343725,-120.35173
591012,591,"13,378","1,437,995",55.960877,-121.974521
591013,591,"39,915","1,437,995",56.038467,-121.594099
591015,591,"60,403","1,437,995",56.08036,-121.274458
591017,591,"16,461","1,437,995",56.239135,-120.723268
591018,591,"13,336","1,437,995",56.187184,-120.689546
591019,591,"90,362","1,437,995",56.411008,-119.76254
591020,591,"48,718","1,437,995",56.226305,-119.797799
591023,591,"31,217","1,437,995",55.767888,-121.605674
591024,591,"57,460","1,437,995",56.570995,-119.085536
591025,591,"15,513","1,437,995",55.897026,-121.401251
591026,591,"95,701","1,437,995",55.901185,-119.973582
591027,591,"53,104","1,437,995",56.471426,-119.01778
591028,591,"15,471","1,437,995",55.908515,-121.30459
591030,591,"44,794","1,437,995",55.950308,-121.008425
591031,591,"11,968","1,437,995",56.042264,-120.763429
591032,591,"29,965","1,437,995",55.945896,-120.742819
591033,591,"70,188","1,437,995",56.308646,-119.475041
591034,591,"19,604","1,437,995",55.761027,-121.398393
591035,591,"10,171","1,437,995",56.047516,-120.319849
591036,591,"8,450","1,437,995",55.734169,-121.510315
591037,591,"27,683","1,437,995",55.80167,-120.984375
591038,591,"10,739","1,437,995",55.972213,-120.406025
591039,591,"23,036","1,437,995",55.857305,-120.715665
591040,591,"25,070","1,437,995",55.929724,-120.008861
591041,591,"43,303","1,437,995",55.839204,-120.435994
591042,591,"24,710","1,437,995",55.702269,-121.131735
591043,591,"55,446","1,437,995",55.937464,-119.807036
591044,591,"17,980","1,437,995",55.979009,-120.230223
591045,591,"14,614","1,437,995",55.67982,-120.991465
591046,591,"32,361","1,437,995",55.814283,-120.224409
591047,591,"40,347","1,437,995",56.106453,-118.772384
591048,591,"9,619","1,437,995",55.678236,-120.480977
591049,591,"21,915","1,437,995",56.169346,-118.595561
592001,592,"24,861","593,142",56.236353,-116.763958
592002,592,"60,636","593,142",55.907521,-117.070334
592003,592,"14,296","593,142",55.5701,-116.957716
592004,592,"53,886","593,142",55.650453,-116.948058
592005,592,"53,913","593,142",55.624943,-116.723735
592006,592,"135,195","593,142",55.343831,-116.555906
592007,592,"75,981","593,142",55.285849,-117.199524
592008,592,"60,465","593,142",55.48545,-116.317232
592009,592,"16,933","593,142",55.060992,-117.325582
592010,592,"74,402","593,142",55.381268,-115.510401
592011,592,"22,574","593,142",55.070342,-117.070756
593001,593,"38,369","179,270",55.903162,-118.984939
593002,593,"24,455","179,270",55.769295,-118.716229
593003,593,"59,365","179,270",55.667795,-118.618962
593004,593,"14,243","179,270",55.678649,-118.256658
593005,593,"42,838","179,270",55.606241,-118.116351
594002,594,"60,576","217,137",56.146525,-119.459647
594003,594,"28,185","217,137",56.090827,-119.29547
594004,594,"58,843","217,137",55.836816,-119.1395
594005,594,"52,266","217,137",55.868762,-119.417556
595001,595,"100,132","131,649",55.819652,-117.237144
595002,595,"6,270","131,649",55.48437,-117.231013
595003,595,"25,247","131,649",55.486658,-117.386722
596001,596,"60,376","308,863",56.048137,-117.621826
596002,596,"8,104","308,863",55.964834,-118.8629
596003,596,"57,092","308,863",55.851253,-118.554538
596004,596,"30,016","308,863",55.707444,-117.396744
596005,596,"64,569","308,863",55.832198,-117.81038
596006,596,"21,964","308,863",55.897057,-117.635809
596007,596,"18,813","308,863",55.63316,-117.550292
596008,596,"10,071","308,863",55.699118,-117.523278
596009,596,"19,614","308,863",55.619588,-117.822895
596010,596,"18,244","308,863",55.553211,-117.603684
597001,597,"26,041","224,162",55.553721,-117.891835
597002,597,"36,169","224,162",55.403987,-118.428792
597003,597,"78,357","224,162",55.290356,-118.074508
597004,597,"55,596","224,162",54.962954,-118.004513
597005,597,"28,001","224,162",55.414431,-117.807504
598001,598,"83,316","193,136",55.333858,-119.49163
598002,598,"26,266","193,136",55.394971,-119.132536
598003,598,"7,507","193,136",55.232468,-119.321272
598004,598,"57,143","193,136",55.134412,-119.376027
598005,598,"18,904","193,136",55.019413,-119.564263
599001,599,"117,234","144,136",55.247189,-118.822771
599002,599,"10,592","144,136",55.342136,-118.52199
599003,599,"16,310","144,136",55.169288,-118.594065
600001,600,"32,826","192,540",55.074836,-118.79104
600002,600,"23,861","192,540",54.972809,-119.304777
600003,600,"17,555","192,540",55.111495,-118.655548
600004,600,"18,207","192,540",54.993465,-119.003035
600005,600,"100,091","192,540",54.956283,-118.469855
607017,607,"93,943","1,997,487",55.949315,-113.789579
608001,608,"167,398","701,478",57.092882,-111.928333
609009,609,"92,694","982,800",55.321535,-112.429658
610001,610,"3,651","1,040,198",55.431683,-119.969792
610002,610,"39,634","1,040,198",55.447859,-119.775086
610003,610,"127,509","1,040,198",55.178601,-119.983525
610005,610,"66,954","1,040,198",54.815536,-118.75768
610008,610,"20,759","1,040,198",54.961216,-117.848299
610010,610,"92,527","1,040,198",54.872306,-117.632961
610012,610,"13,015","1,040,198",54.897136,-117.320193
610014,610,"13,930","1,040,198",54.794923,-117.425813
610015,610,"20,196","1,040,198",54.768327,-117.203465
610016,610,"20,713","1,040,198",54.694674,-117.351747
610017,610,"172,335","1,040,198",54.618274,-116.830783
610018,610,"171,039","1,040,198",55.125693,-116.090719
610019,610,"26,775","1,040,198",54.971457,-116.919597
610020,610,"36,706","1,040,198",54.873543,-117.041512
611002,611,"16,932","116,956",55.282909,-117.854738
611003,611,"32,571","116,956",55.327543,-117.532231
611004,611,"48,674","116,956",55.12761,-117.613687
612004,612,"24,407","893,330",55.794023,-116.287635
612005,612,"13,541","893,330",55.841789,-116.079855
612007,612,"479,147","893,330",55.778549,-115.826098
612008,612,"51,701","893,330",55.666114,-116.247303
613002,613,"41,859","361,024",55.698232,-114.97749
615001,615,"175,209","691,908",55.367767,-113.814577
615005,615,"14,562","691,908",55.070431,-113.546328
615006,615,"68,604","691,908",55.055383,-113.67995
615007,615,"119,555","691,908",55.02575,-113.135472
615008,615,"43,624","691,908",54.914557,-113.708518
